"place","date","amount"
"55001",2020-03-28,10.05
"55001",2020-04-01,10.05
"55001",2020-04-08,10.05
"55001",2020-04-12,10.05
"55001",2020-05-31,10.05
"55003",2020-03-26,10.05
"55003",2020-04-07,10.05
"55003",2020-05-31,10.05
"55003",2020-07-05,20.05
"55003",2020-07-06,20.05
"55005",2020-03-29,10.05
"55005",2020-03-31,30.05
"55005",2020-04-04,10.05
"55005",2020-04-05,10.05
"55005",2020-04-27,10.05
"55007",2020-03-14,10.05
"55007",2020-03-22,10.05
"55007",2020-03-27,10.05
"55007",2020-07-02,10.05
"55007",2020-07-05,10.05
"55009",2020-03-13,10.05
"55009",2020-03-14,10.05
"55009",2020-03-16,10.05
"55009",2020-03-21,10.05
"55009",2020-03-22,10.05
"55011",2020-03-26,10.05
"55011",2020-03-28,10.05
"55011",2020-04-06,10.05
"55011",2020-04-09,10.05
"55011",2020-04-29,10.05
"55013",2020-05-09,10.05
"55013",2020-06-07,10.05
"55013",2020-06-22,10.05
"55013",2020-06-29,10.05
"55013",2020-07-02,10.05
"55015",2020-03-14,10.05
"55015",2020-03-27,10.05
"55015",2020-03-28,10.05
"55015",2020-03-31,10.05
"55015",2020-04-08,10.05
"55017",2020-03-15,10.05
"55017",2020-03-22,20.05
"55017",2020-03-23,10.05
"55017",2020-03-25,30.05
"55017",2020-03-26,10.05
"55019",2020-03-20,10.05
"55019",2020-03-22,10.05
"55019",2020-03-23,10.05
"55019",2020-03-27,20.05
"55019",2020-03-28,10.05
"55021",2020-03-14,40.05
"55021",2020-03-15,10.05
"55021",2020-03-22,10.05
"55021",2020-03-23,10.05
"55021",2020-03-24,20.05
"55023",2020-03-27,10.05
"55023",2020-03-31,10.05
"55023",2020-04-05,10.05
"55023",2020-04-27,10.05
"55023",2020-04-28,10.05
"55025",2020-03-05,20.05
"55025",2020-03-07,20.05
"55025",2020-03-08,10.05
"55025",2020-03-09,10.05
"55025",2020-03-11,40.05
"55027",2020-03-18,20.05
"55027",2020-03-20,10.05
"55027",2020-03-22,30.05
"55027",2020-03-24,20.05
"55027",2020-03-26,20.05
"55029",2020-03-26,10.05
"55029",2020-03-28,10.05
"55029",2020-03-31,20.05
"55029",2020-04-02,30.05
"55029",2020-04-04,10.05
"55031",2020-03-15,10.05
"55031",2020-03-18,10.05
"55031",2020-03-19,20.05
"55031",2020-03-22,10.05
"55031",2020-03-23,10.05
"55033",2020-03-14,10.05
"55033",2020-03-22,10.05
"55033",2020-03-24,10.05
"55033",2020-03-29,20.05
"55033",2020-04-04,20.05
"55035",2020-03-14,10.05
"55035",2020-03-15,20.05
"55035",2020-03-17,10.05
"55035",2020-03-20,10.05
"55035",2020-03-21,10.05
"55037",2020-03-31,10.05
"55037",2020-04-01,10.05
"55037",2020-06-19,10.05
"55037",2020-06-29,10.05
"55037",2020-07-09,10.05
"55039",2020-03-07,20.05
"55039",2020-03-08,40.05
"55039",2020-03-10,10.05
"55039",2020-03-11,40.05
"55039",2020-03-12,10.05
"55041",2020-05-01,10.05
"55041",2020-05-05,20.05
"55041",2020-05-06,10.05
"55041",2020-05-08,10.05
"55041",2020-05-11,20.05
"55043",2020-03-20,10.05
"55043",2020-03-26,10.05
"55043",2020-04-01,10.05
"55043",2020-04-04,10.05
"55043",2020-04-06,10.05
"55045",2020-03-15,10.05
"55045",2020-03-22,20.05
"55045",2020-03-23,10.05
"55045",2020-03-25,10.05
"55045",2020-03-26,10.05
"55047",2020-04-08,10.05
"55047",2020-04-22,10.05
"55047",2020-04-26,10.05
"55047",2020-04-29,20.05
"55047",2020-05-03,10.05
"55049",2020-03-19,10.05
"55049",2020-03-20,20.05
"55049",2020-04-02,10.05
"55049",2020-04-07,10.05
"55049",2020-04-12,10.05
"55051",2020-03-22,10.05
"55051",2020-04-06,10.05
"55051",2020-06-21,10.05
"55051",2020-06-22,20.05
"55051",2020-06-24,10.05
"55053",2020-03-25,20.05
"55053",2020-03-31,10.05
"55053",2020-04-01,10.05
"55053",2020-04-04,30.05
"55053",2020-04-05,30.05
"55055",2020-03-15,10.05
"55055",2020-03-17,10.05
"55055",2020-03-19,20.05
"55055",2020-03-20,10.05
"55055",2020-03-22,10.05
"55057",2020-03-21,10.05
"55057",2020-03-22,10.05
"55057",2020-03-24,10.05
"55057",2020-03-27,10.05
"55057",2020-03-31,10.05
"55059",2020-03-11,10.05
"55059",2020-03-12,30.05
"55059",2020-03-16,10.05
"55059",2020-03-17,50.05
"55059",2020-03-18,20.05
"55061",2020-04-01,10.05
"55061",2020-04-07,20.05
"55061",2020-04-08,10.05
"55061",2020-04-10,10.05
"55061",2020-04-11,10.05
"55063",2020-03-13,20.05
"55063",2020-03-14,20.05
"55063",2020-03-16,10.05
"55063",2020-03-20,50.05
"55063",2020-03-21,20.05
"55065",2020-04-02,10.05
"55065",2020-04-04,10.05
"55065",2020-04-06,10.05
"55065",2020-04-17,10.05
"55065",2020-04-26,20.05
"55067",2020-05-16,10.05
"55067",2020-05-21,10.05
"55067",2020-05-26,10.05
"55067",2020-05-30,10.05
"55067",2020-06-03,10.05
"55069",2020-04-26,10.05
"55069",2020-05-09,10.05
"55069",2020-05-11,10.05
"55069",2020-05-19,10.05
"55069",2020-05-21,10.05
"55071",2020-03-30,10.05
"55071",2020-03-31,20.05
"55071",2020-04-09,10.05
"55071",2020-04-11,10.05
"55071",2020-04-13,10.05
"55073",2020-03-15,10.05
"55073",2020-03-25,10.05
"55073",2020-03-26,10.05
"55073",2020-03-27,20.05
"55073",2020-03-28,30.05
"55075",2020-03-22,10.05
"55075",2020-03-27,10.05
"55075",2020-04-01,10.05
"55075",2020-04-09,10.05
"55075",2020-04-13,10.05
"55077",2020-03-25,20.05
"55077",2020-04-10,10.05
"55077",2020-05-25,10.05
"55077",2020-05-29,10.05
"55077",2020-06-04,10.05
"55078",2020-03-28,10.05
"55078",2020-05-02,10.05
"55078",2020-05-19,10.05
"55078",2020-06-09,10.05
"55078",2020-06-21,10.05
"55079",2020-03-08,20.05
"55079",2020-03-09,40.05
"55079",2020-03-11,70.05
"55079",2020-03-12,110.05
"55079",2020-03-13,230.05
"55081",2020-03-20,10.05
"55081",2020-03-26,10.05
"55081",2020-03-28,10.05
"55081",2020-03-31,20.05
"55081",2020-04-04,10.05
"55083",2020-03-26,10.05
"55083",2020-04-04,20.05
"55083",2020-04-09,10.05
"55083",2020-04-15,10.05
