"place","date","amount"
"55083",2020-04-20,10.05
"55085",2020-03-23,10.05
"55085",2020-03-25,20.05
"55085",2020-04-02,20.05
"55085",2020-04-07,10.05
"55085",2020-05-03,10.05
"55087",2020-03-11,10.05
"55087",2020-03-15,10.05
"55087",2020-03-20,20.05
"55087",2020-03-24,20.05
"55087",2020-03-25,30.05
"55089",2020-03-14,30.05
"55089",2020-03-15,40.05
"55089",2020-03-16,40.05
"55089",2020-03-17,20.05
"55089",2020-03-18,10.05
"55091",2020-05-09,10.05
"55091",2020-07-03,10.05
"55091",2020-07-04,20.05
"55091",2020-07-05,10.05
"55091",2020-07-06,90.05
"55093",2020-03-05,10.05
"55093",2020-03-18,20.05
"55093",2020-03-22,10.05
"55093",2020-03-25,20.05
"55093",2020-03-26,10.05
"55095",2020-04-05,10.05
"55095",2020-04-07,20.05
"55095",2020-04-12,10.05
"55095",2020-05-01,10.05
"55095",2020-05-09,10.05
"55097",2020-03-21,10.05
"55097",2020-03-28,10.05
"55097",2020-03-29,10.05
"55097",2020-04-02,10.05
"55097",2020-04-24,10.05
"55099",2020-04-06,10.05
"55099",2020-05-16,10.05
"55099",2020-07-04,20.05
"55099",2020-07-05,20.05
"55099",2020-07-06,20.05
"55101",2020-03-08,10.05
"55101",2020-03-14,20.05
"55101",2020-03-16,10.05
"55101",2020-03-18,10.05
"55101",2020-03-20,20.05
"55103",2020-03-23,20.05
"55103",2020-03-31,10.05
"55103",2020-04-05,10.05
"55103",2020-04-06,10.05
"55103",2020-04-09,10.05
"55105",2020-03-15,20.05
"55105",2020-03-16,10.05
"55105",2020-03-20,10.05
"55105",2020-03-21,40.05
"55105",2020-03-22,40.05
"55107",2020-03-29,10.05
"55107",2020-03-31,20.05
"55107",2020-04-13,10.05
"55107",2020-05-22,10.05
"55107",2020-06-06,20.05
"55109",2020-03-14,10.05
"55109",2020-03-15,10.05
"55109",2020-03-18,10.05
"55109",2020-03-19,10.05
"55109",2020-03-26,10.05
"55111",2020-03-14,10.05
"55111",2020-03-15,10.05
"55111",2020-03-18,10.05
"55111",2020-03-19,10.05
"55111",2020-03-20,20.05
"55113",2020-04-04,10.05
"55113",2020-04-09,10.05
"55113",2020-04-21,10.05
"55113",2020-04-29,10.05
"55113",2020-05-16,30.05
"55115",2020-03-31,10.05
"55115",2020-04-01,10.05
"55115",2020-04-02,10.05
"55115",2020-04-04,10.05
"55115",2020-04-05,10.05
"55117",2020-03-08,30.05
"55117",2020-03-13,10.05
"55117",2020-03-14,20.05
"55117",2020-03-20,10.05
"55117",2020-03-23,10.05
"55119",2020-05-16,10.05
"55119",2020-05-24,10.05
"55119",2020-06-09,10.05
"55119",2020-06-10,20.05
"55119",2020-06-13,10.05
"55121",2020-03-28,10.05
"55121",2020-04-19,10.05
"55121",2020-04-25,10.05
"55121",2020-04-29,10.05
"55121",2020-05-01,10.05
"55123",2020-04-19,10.05
"55123",2020-04-29,10.05
"55123",2020-05-03,10.05
"55123",2020-05-07,10.05
"55123",2020-05-08,20.05
"55125",2020-03-21,10.05
"55125",2020-03-22,10.05
"55125",2020-03-25,10.05
"55125",2020-03-31,10.05
"55125",2020-05-16,10.05
"55127",2020-03-13,10.05
"55127",2020-03-14,10.05
"55127",2020-03-15,10.05
"55127",2020-03-19,10.05
"55127",2020-03-20,10.05
"55129",2020-04-11,10.05
"55129",2020-05-16,10.05
"55129",2020-06-01,10.05
"55129",2020-06-14,10.05
"55129",2020-07-02,10.05
"55131",2020-03-13,20.05
"55131",2020-03-15,10.05
"55131",2020-03-17,110.05
"55131",2020-03-18,10.05
"55131",2020-03-19,20.05
"55133",2020-03-07,10.05
"55133",2020-03-09,20.05
"55133",2020-03-12,10.05
"55133",2020-03-13,10.05
"55133",2020-03-14,70.05
"55135",2020-03-21,10.05
"55135",2020-03-27,10.05
"55135",2020-04-04,10.05
"55135",2020-04-07,10.05
"55135",2020-04-17,10.05
"55137",2020-04-01,10.05
"55137",2020-04-04,10.05
"55137",2020-04-30,20.05
"55137",2020-05-10,10.05
"55137",2020-05-13,20.05
"55139",2020-03-09,10.05
"55139",2020-03-11,20.05
"55139",2020-03-13,20.05
"55139",2020-03-21,10.05
"55139",2020-03-23,10.05
"55141",2020-03-11,10.05
"55141",2020-03-22,10.05
"55141",2020-05-06,20.05
"55141",2020-05-09,10.05
"55141",2020-05-11,10.05
