"place","date","amount"
"04001",2020-03-16,30.05
"04001",2020-03-18,10.05
"04001",2020-03-20,30.05
"04001",2020-03-21,20.05
"04001",2020-03-22,20.05
"04003",2020-03-15,10.05
"04003",2020-03-21,10.05
"04003",2020-03-23,10.05
"04003",2020-03-25,10.05
"04003",2020-03-29,10.05
"04005",2020-03-14,20.05
"04005",2020-03-15,60.05
"04005",2020-03-16,30.05
"04005",2020-03-17,30.05
"04005",2020-03-18,30.05
"04007",2020-03-23,10.05
"04007",2020-03-28,10.05
"04007",2020-03-30,10.05
"04007",2020-04-11,20.05
"04007",2020-04-13,20.05
"04009",2020-03-09,10.05
"04009",2020-03-17,10.05
"04009",2020-04-18,20.05
"04009",2020-04-19,30.05
"04009",2020-04-22,20.05
"04011",2020-03-25,10.05
"04011",2020-04-06,10.05
"04011",2020-05-14,10.05
"04011",2020-05-23,10.05
"04011",2020-05-26,20.05
"04012",2020-03-21,20.05
"04012",2020-03-31,10.05
"04012",2020-04-04,10.05
"04012",2020-04-10,10.05
"04012",2020-04-16,10.05
"04013",2020-01-21,10.05
"04013",2020-03-01,10.05
"04013",2020-03-06,10.05
"04013",2020-03-09,10.05
"04013",2020-03-11,40.05
"04015",2020-03-21,20.05
"04015",2020-03-22,20.05
"04015",2020-03-23,10.05
"04015",2020-03-24,10.05
"04015",2020-03-25,10.05
"04017",2020-03-12,10.05
"04017",2020-03-13,10.05
"04017",2020-03-14,10.05
"04017",2020-03-16,70.05
"04017",2020-03-17,30.05
"04019",2020-03-05,10.05
"04019",2020-03-09,10.05
"04019",2020-03-11,20.05
"04019",2020-03-13,10.05
"04019",2020-03-14,20.05
"04021",2020-03-02,20.05
"04021",2020-03-05,10.05
"04021",2020-03-06,20.05
"04021",2020-03-13,30.05
"04021",2020-03-14,20.05
"04023",2020-03-15,10.05
"04023",2020-03-21,10.05
"04023",2020-03-27,10.05
"04023",2020-03-30,10.05
"04023",2020-04-02,10.05
"04025",2020-03-15,10.05
"04025",2020-03-17,20.05
"04025",2020-03-20,10.05
"04025",2020-03-21,10.05
"04025",2020-03-22,40.05
"04027",2020-03-15,10.05
"04027",2020-03-18,10.05
"04027",2020-03-20,10.05
"04027",2020-03-21,10.05
"04027",2020-03-24,10.05
