"place","date","amount"
"02013",2020-06-04,10.05
"02013",2020-06-10,10.05
"02013",2020-07-16,10.05
"02013",2020-07-30,10.05
"02013",2020-08-30,60.05
"02016",2020-05-30,30.05
"02016",2020-06-06,10.05
"02016",2020-06-27,10.05
"02016",2020-07-03,10.05
"02016",2020-07-13,60.05
"02020",2020-03-08,10.05
"02020",2020-03-13,20.05
"02020",2020-03-14,20.05
"02020",2020-03-17,20.05
"02020",2020-03-18,90.05
"02050",2020-04-02,10.05
"02050",2020-05-11,10.05
"02050",2020-05-22,10.05
"02050",2020-06-07,10.05
"02050",2020-06-08,10.05
"02068",2020-06-19,10.05
"02068",2020-07-11,10.05
"02068",2020-07-13,10.05
"02068",2020-07-15,10.05
"02068",2020-08-16,10.05
"02070",2020-05-11,10.05
"02070",2020-05-26,10.05
"02070",2020-06-14,10.05
"02070",2020-06-18,110.05
"02070",2020-06-19,10.05
"02090",2020-03-12,20.05
"02090",2020-03-13,10.05
"02090",2020-03-15,30.05
"02090",2020-03-17,10.05
"02090",2020-03-19,20.05
"02100",2020-06-04,10.05
"02100",2020-06-14,10.05
"02100",2020-06-17,30.05
"02100",2020-06-27,10.05
"02100",2020-07-09,10.05
"02110",2020-03-17,10.05
"02110",2020-03-18,10.05
"02110",2020-03-22,10.05
"02110",2020-03-23,10.05
"02110",2020-03-25,10.05
"02122",2020-03-14,10.05
"02122",2020-03-17,20.05
"02122",2020-03-19,10.05
"02122",2020-03-21,10.05
"02122",2020-03-24,20.05
"02130",2020-03-13,20.05
"02130",2020-03-16,10.05
"02130",2020-03-17,40.05
"02130",2020-03-18,10.05
"02130",2020-03-20,30.05
"02150",2020-04-11,10.05
"02150",2020-05-30,10.05
"02150",2020-06-06,10.05
"02150",2020-06-08,10.05
"02150",2020-06-12,10.05
"02158",2020-06-28,10.05
"02158",2020-07-03,10.05
"02158",2020-07-10,10.05
"02158",2020-07-22,10.05
"02158",2020-07-29,10.05
"02164",2020-05-15,10.05
"02164",2020-05-25,10.05
"02164",2020-06-04,10.05
"02164",2020-06-07,10.05
"02164",2020-06-09,10.05
"02170",2020-03-18,20.05
"02170",2020-03-26,10.05
"02170",2020-03-28,10.05
"02170",2020-04-03,20.05
"02170",2020-04-04,10.05
"02180",2020-04-10,10.05
"02180",2020-05-17,10.05
"02180",2020-05-18,10.05
"02180",2020-06-04,10.05
"02180",2020-06-08,10.05
"02185",2020-05-23,10.05
"02185",2020-06-12,10.05
"02185",2020-06-14,10.05
"02185",2020-06-17,10.05
"02185",2020-07-07,10.05
"02188",2020-05-15,10.05
"02188",2020-05-18,10.05
"02188",2020-06-04,10.05
"02188",2020-06-06,10.05
"02188",2020-06-26,10.05
"02195",2020-03-12,10.05
"02195",2020-04-01,10.05
"02195",2020-04-14,10.05
"02195",2020-04-23,10.05
"02195",2020-06-14,10.05
"02198",2020-04-06,10.05
"02198",2020-04-09,10.05
"02198",2020-06-16,10.05
"02198",2020-07-21,10.05
"02198",2020-07-22,10.05
"02220",2020-04-21,10.05
"02220",2020-05-21,10.05
"02220",2020-05-30,10.05
"02220",2020-06-05,10.05
"02220",2020-06-06,30.05
"02230",2020-10-11,10.05
"02230",2020-10-15,20.05
"02230",2020-10-16,10.05
"02230",2020-10-17,10.05
"02230",2020-10-19,10.05
"02240",2020-03-29,10.05
"02240",2020-04-11,10.05
"02240",2020-05-01,10.05
"02240",2020-05-09,10.05
"02240",2020-06-12,30.05
"02261",2020-05-02,10.05
"02261",2020-05-18,10.05
"02261",2020-05-28,10.05
"02261",2020-05-30,100.05
"02261",2020-06-14,10.05
"02275",2020-06-03,10.05
"02275",2020-06-08,20.05
"02275",2020-06-12,10.05
"02275",2020-06-15,10.05
"02275",2020-06-17,10.05
"02282",2020-06-07,10.05
"02282",2020-07-16,10.05
"02282",2020-07-19,10.05
"02282",2020-07-21,20.05
"02282",2020-07-22,10.05
"02290",2020-03-23,10.05
"02290",2020-06-15,10.05
"02290",2020-06-22,10.05
"02290",2020-06-29,10.05
"02290",2020-07-02,10.05
