ori,dest,amount
04001,04003,8
04001,04005,90
04001,04007,68
04001,04009,186
04001,04011,46
04001,04013,384
04001,04015,24
04001,04017,2610
04001,04019,64
04001,04021,26
04001,04025,60
04001,04027,6
04003,04001,4
04003,04009,138
04003,04011,132
04003,04013,468
04003,04019,2638
04003,04021,16
04003,04023,310
04003,04025,26
04005,04001,228
04005,04003,30
04005,04007,158
04005,04011,4
04005,04013,1538
04005,04015,454
04005,04017,2198
04005,04019,128
04005,04021,20
04005,04023,38
04005,04025,2018
04005,04027,10
04007,04001,32
04007,04005,212
04007,04009,304
04007,04011,64
04007,04013,2634
04007,04017,1020
04007,04019,10
04007,04021,638
04009,04003,288
04009,04007,1290
04009,04011,2064
04009,04013,206
04009,04017,20
04009,04019,144
04009,04021,14
04011,04003,30
04011,04007,14
04011,04009,288
04011,04013,52
04011,04019,10
04011,04021,4
04011,04025,2
04012,04007,22
04012,04013,78
04012,04015,250
04013,04001,326
04013,04003,578
04013,04005,1350
04013,04007,2210
04013,04009,220
04013,04011,400
04013,04012,188
04013,04015,370
04013,04017,624
04013,04019,5204
04013,04021,28198
04013,04023,64
04013,04025,3296
04013,04027,776
04015,04001,10
04015,04005,394
04015,04011,36
04015,04012,862
04015,04013,324
04015,04017,64
04015,04019,20
04015,04021,74
04015,04025,56
04017,04001,1304
04017,04003,32
04017,04005,1242
04017,04007,146
04017,04009,28
04017,04011,42
04017,04012,22
04017,04013,1036
04017,04019,138
04017,04021,12
04017,04025,142
04019,04001,18
04019,04003,3720
04019,04005,142
04019,04007,270
04019,04009,224
04019,04011,516
04019,04012,82
04019,04013,4326
04019,04015,64
04019,04017,112
04019,04021,4252
04019,04023,4592
04019,04025,186
04019,04027,154
04021,04005,28
04021,04007,1798
04021,04009,48
04021,04011,108
04021,04013,116682
04021,04015,20
04021,04017,72
04021,04019,8948
04021,04023,44
04021,04025,66
04021,04027,62
04023,04003,532
04023,04011,106
04023,04013,40
04023,04019,3264
04025,04001,4
04025,04005,4234
04025,04007,108
04025,04009,62
04025,04011,26
04025,04013,7168
04025,04015,256
04025,04017,168
04025,04019,150
04025,04021,234
04025,04023,30
04025,04027,56
04027,04003,42
04027,04012,162
04027,04013,378
04027,04015,82
04027,04019,98
04027,04021,30
