"ori","dest","amount"
"36027","36065",45
"36027","36067",35
"36027","36071",4541
"36027","36075",4
"36027","36079",5492
"36027","36081",541
"36027","36083",23
"36027","36085",24
"36027","36087",751
"36027","36091",25
"36027","36093",60
"36027","36103",93
"36027","36105",15
"36027","36111",4081
"36027","36113",15
"36027","36119",15513
"36027","36121",15
"36029","36001",124
"36029","36003",39
"36029","36005",10
"36029","36007",62
"36029","36009",606
"36029","36011",65
"36029","36013",1690
"36029","36015",85
"36029","36023",4
"36029","36027",169
"36029","36037",1316
"36029","36045",25
"36029","36047",14
"36029","36051",90
"36029","36053",25
"36029","36055",1175
"36029","36059",60
"36029","36061",187
"36029","36063",13383
"36029","36065",55
"36029","36067",204
"36029","36069",148
"36029","36071",30
"36029","36073",429
"36029","36075",10
"36029","36081",180
"36029","36083",4
"36029","36089",15
"36029","36091",65
"36029","36099",50
"36029","36103",124
"36029","36109",45
"36029","36111",89
"36029","36117",20
"36029","36119",120
"36029","36121",1923
"36029","36123",15
"36031","36001",94
"36031","36019",504
"36031","36027",10
"36031","36029",8
"36031","36033",199
"36031","36041",4
"36031","36047",10
"36031","36059",4
"36031","36061",49
"36031","36083",15
"36031","36091",37
"36031","36093",4
"36031","36113",444
"36031","36115",176
"36031","36119",4
"36031","36121",50
"36033","36001",46
"36033","36019",181
"36033","36027",78
"36033","36031",223
"36033","36037",4
"36033","36039",4
"36033","36045",19
"36033","36055",4
"36033","36059",4
"36033","36061",14
"36033","36065",15
"36033","36067",26
"36033","36069",4
"36033","36087",4
"36033","36089",381
"36033","36091",8
"36033","36093",4
"36033","36111",4
"36033","36113",25
"36033","36115",10
"36035","36001",1395
"36035","36005",25
"36035","36007",10
"36035","36041",25
"36035","36043",239
"36035","36051",15
"36035","36057",1316
"36035","36061",12
"36035","36065",112
"36035","36067",16
"36035","36069",48
"36035","36071",35
"36035","36083",81
"36035","36091",929
"36035","36093",1357
"36035","36113",68
"36035","36115",24
"36037","36011",22
"36037","36013",24
"36037","36027",4
"36037","36029",3376
"36037","36051",682
"36037","36055",5297
"36037","36061",8
"36037","36063",229
"36037","36065",4
"36037","36067",10
"36037","36069",222
"36037","36073",659
"36037","36099",10
"36037","36109",8
"36037","36117",34
"36037","36121",753
"36039","36001",3334
"36039","36005",4
"36039","36021",948
"36039","36025",4
"36039","36027",387
"36039","36047",55
"36039","36059",34
"36039","36061",288
"36039","36067",25
"36039","36071",108
"36039","36081",57
"36039","36083",409
"36039","36085",10
"36039","36087",10
"36039","36091",70
"36039","36093",156
"36039","36095",4
"36039","36103",29
"36039","36111",1396
"36039","36113",4
"36041","36001",40
"36041","36027",4
"36041","36033",10
"36041","36035",215
"36041","36043",12
"36041","36057",61
"36041","36065",12
"36041","36081",4
"36041","36083",14
"36041","36085",16
"36041","36091",22
"36041","36093",18
"36041","36113",100
"36041","36115",12
"36041","36119",4
"36043","36001",158
"36043","36005",10
"36043","36007",24
"36043","36011",10
"36043","36013",10
"36043","36017",18
"36043","36021",4
"36043","36023",15
"36043","36027",8
"36043","36029",4
"36043","36035",258
"36043","36049",30
"36043","36053",167
"36043","36055",19
"36043","36057",136
"36043","36059",4
"36043","36061",4
"36043","36065",9950
"36043","36067",364
"36043","36069",59
"36043","36071",36
"36043","36075",30
"36043","36077",334
"36043","36083",22
"36043","36087",4
"36043","36091",33
"36043","36093",53
"36043","36097",10
"36043","36105",10
"36043","36109",20
"36043","36113",4
"36043","36119",14
"36045","36001",10
"36045","36011",70
"36045","36019",4
"36045","36023",12
"36045","36027",42
"36045","36029",4
"36045","36049",128
"36045","36053",16
"36045","36055",56
"36045","36061",54
"36045","36063",8
"36045","36065",89
"36045","36067",409
"36045","36069",8
"36045","36071",30
"36045","36075",380
"36045","36081",4
"36045","36085",4
"36045","36087",10
"36045","36089",191
"36045","36099",18
"36045","36103",64
"36045","36111",26
"36045","36115",4
"36045","36117",4
"36045","36119",23
"36047","36001",90
"36047","36005",13448
"36047","36013",30
"36047","36025",15
"36047","36027",289
"36047","36029",49
"36047","36045",15
"36047","36053",55
"36047","36055",20
"36047","36059",10872
"36047","36061",390387
"36047","36063",69
"36047","36065",10
"36047","36067",4
"36047","36069",69
"36047","36071",284
"36047","36075",90
"36047","36079",60
"36047","36081",69231
"36047","36083",55
"36047","36085",6640
"36047","36087",539
"36047","36091",20
"36047","36093",4
"36047","36103",2730
"36047","36105",20
"36047","36109",25
"36047","36111",64
"36047","36115",50
"36047","36117",15
"36047","36119",3144
"36049","36001",25
"36049","36007",12
"36049","36011",4
"36049","36029",33
"36049","36033",10
"36049","36043",12
"36049","36045",1005
"36049","36053",14
"36049","36055",33
"36049","36061",4
"36049","36063",10
"36049","36065",1128
"36049","36067",201
"36049","36069",4
"36049","36075",40
"36049","36083",4
"36049","36089",53
"36049","36091",10
"36049","36099",4
"36049","36103",4
"36049","36111",4
"36049","36121",4
"36051","36001",8
"36051","36003",16
"36051","36007",20
"36051","36015",12
"36051","36027",25
"36051","36029",146
"36051","36037",648
"36051","36055",10465
"36051","36059",46
"36051","36061",4
"36051","36065",24
"36051","36067",42
"36051","36069",1009
"36051","36071",23
"36051","36073",65
"36051","36081",23
"36051","36083",4
"36051","36097",8
"36051","36099",8
"36051","36101",462
"36051","36107",4
"36051","36117",157
"36051","36121",594
"36053","36001",54
"36053","36005",4
"36053","36007",44
"36053","36011",34
"36053","36017",237
"36053","36023",148
"36053","36027",10
"36053","36029",30
"36053","36037",4
"36053","36043",40
"36053","36051",10
"36053","36055",54
"36053","36057",10
"36053","36059",10
"36053","36061",42
"36053","36065",4360
"36053","36067",9621
"36053","36069",4
"36053","36071",20
"36053","36075",97
"36053","36077",22
"36053","36081",25
"36053","36085",15
"36053","36093",20
"36053","36107",10
"36053","36109",18
"36053","36117",4
"36053","36121",4
"36055","36001",14
"36055","36005",48
"36055","36007",74
"36055","36011",25
"36055","36013",29
"36055","36015",10
"36055","36019",25
"36055","36023",40
"36055","36027",25
"36055","36029",1019
"36055","36033",19
"36055","36037",1196
"36055","36047",15
