USPS,geoid,pop2019est
AZ,04011,9498
AZ,04012,21108
AZ,04009,38837
AZ,04023,46498
AZ,04007,54018
AZ,04001,71887
AZ,04017,110924
AZ,04003,125922
AZ,04005,143476
AZ,04027,213787
AZ,04015,212181
AZ,04025,235099
AZ,04021,462789
AZ,04019,1047279
AZ,04013,4485414
