"USPS","geoid","pop2019est"
"KS","20025",1994
"KS","20203",2119
"KS","20187",2006
"TX","48327",2138
"ND","38095",2189
"UT","49033",2483
"WA","53023",2225
"KY","21201",2108
"VA","51091",2190
"SD","46107",2153
"MT","30051",2337
"TX","48243",2274
"ND","38001",2216
"SD","46111",2344
"SD","46049",2299
"AK","02275",2502
"CO","08115",2248
"ND","38027",2287
"SD","46097",2216
"ND","38037",2274
"TX","48109",2171
"ND","38039",2231
"ND","38043",2480
"TX","48125",2211
"SD","46089",2379
"ND","38075",2327
"OK","40025",2137
"ND","38041",2499
"WY","56027",2356
"AK","02100",2530
"GA","13239",2299
"KS","20153",2530
"NE","31077",2356
"KS","20097",2475
"KS","20179",2521
"KS","20065",2482
"KS","20075",2539
"KS","20063",2636
"SD","46003",2751
"KS","20023",2657
"KS","20109",2794
"NE","31063",2627
"NE","31133",2613
"UT","49055",2711
"KS","20017",2648
"GA","13307",2607
"SD","46137",2756
"ND","38051",2497
"KS","20049",2530
"MT","30025",2846
"ID","16023",2597
"NE","31087",2762
"OK","40057",2653
"KS","20039",2827
"SD","46117",3098
"NE","31135",2891
"SD","46105",2865
"KS","20195",2803
"SD","46043",2921
"SD","46071",3344
"TX","48421",3022
"KS","20047",2798
"TX","48087",2920
"KS","20089",2879
"MT","30039",3379
"GA","13125",2971
"KS","20135",2750
"ND","38063",2879
"TX","48079",2853
"AK","02013",3337
"NE","31017",2955
"ND","38011",3024
"NE","31163",3001
"GA","13061",2834
"NE","31061",2979
"KS","20129",2587
"CA","06091",3005
"KS","20105",2962
"TX","48295",3233
"KS","20165",3036
"KS","20207",3138
"TX","48385",3452
"TX","48081",3387
"SD","46061",3453
"ND","38031",3210
"TX","48191",2964
"TX","48461",3657
"TX","48383",3849
"TX","48417",3265
"MT","30091",3309
"NE","31083",3380
"SD","46007",3365
"SD","46059",3191
"GA","13007",3038
"TX","48413",2793
"TX","48229",4886
"CO","08023",3887
"ND","38025",4424
"ND","38029",3241
"MN","27155",3259
"TX","48271",3667
"OK","40129",3583
"MT","30097",3737
"KS","20019",3250
"TX","48129",3278
"OK","40059",3688
"SD","46025",3736
"TX","48105",3464
"TX","48275",3664
"NM","35003",3527
"TX","48023",3509
"NE","31125",3519
"SD","46085",3781
"MO","29129",3617
"CO","08009",3581
"TX","48211",3819
"NE","31181",3487
"AK","02195",3266
"ID","16061",3838
"NE","31105",3632
"ND","38081",3898
"KS","20183",3583
"KS","20141",3421
"VA","51720",3981
"NE","31029",3924
"TX","48151",3830
"ID","16003",4294
"KS","20093",3838
"WA","53069",4488
"ND","38019",3762
"NV","32029",4123
"TX","48319",4274
"IA","19003",3602
"GA","13101",4006
"MN","27077",3740
"SD","46031",4086
"SD","46045",3829
"WA","53013",3985
"TX","48095",2726
"MN","27125",4055
"TX","48435",3776
"MO","29103",3959
"ND","38045",4046
"TX","48197",3933
"OK","40045",3859
"ND","38085",4230
"ND","38103",3834
"MT","30061",4397
"WI","55078",4556
"MT","30071",3954
"CO","08027",5068
"KS","20081",3968
"NE","31175",4158
"SD","46053",4185
"ID","16071",4531
"IL","17069",3821
"ND","38069",3975
"SD","46039",4351
"ID","16037",4315
"TX","48103",4797
"NC","37177",4016
"WI","55037",4295
"MO","29197",4660
"CO","08091",4952
"KS","20185",4156
"CO","08095",4265
"IL","17151",4177
"NE","31129",4148
"OK","40053",4333
"MT","30065",4633
"NM","35059",4059
"MN","27069",4298
"KS","20119",4033
"TX","48267",4337
"SD","46091",4935
"NM","35019",4300
"VA","51017",4147
"KY","21189",4415
"NV","32021",4505
"TX","48317",5771
"OK","40043",4891
"WY","56017",4413
"CO","08121",4908
"NY","36041",4416
"MO","29199",4902
"AK","02070",4916
"KS","20007",4427
"NM","35033",4521
"NM","35023",4198
"KY","21105",4380
"MO","29087",4403
"MS","28125",4321
"KS","20171",4823
"TX","48333",4873
"NE","31065",4676
"MO","29171",4696
"KS","20157",4636
"GA","13249",5257
"NE","31123",4642
"TN","47137",5048
"PA","42023",4447
"IL","17013",4739
"KY","21039",4760
"IA","19159",4894
"SD","46077",4939
"UT","49017",5051
"MN","27031",5463
"KS","20163",4920
"VA","51045",5131
"ID","16063",5366
"NE","31097",5071
"NE","31169",5003
"TX","48119",5331
"LA","22107",4334
"SD","46015",5297
"MN","27011",4991
"ND","38021",4872
"TX","48247",5200
"SD","46041",5892
"MT","30101",4736
"NV","32017",5183
"IL","17171",4951
"AR","05013",5189
"ND","38049",5745
"NE","31143",5213
"TX","48483",5056
"MN","27087",5527
"SD","46129",5435
"CO","08047",6243
"ND","38073",5218
"CO","08073",5701
"NE","31161",5246
"NE","31011",5192
"TN","47175",5872
"AK","02198",6203
"AK","02016",5634
"AK","02290",5230
"IL","17059",4828
"MT","30007",6237
"TX","48195",5399
"SD","46087",5586
"OK","40007",5311
"KS","20147",5234
"OK","40003",5702
"SD","46123",5441
"KS","20137",5361
"MO","29005",5143
"SD","46037",5424
"NE","31031",5689
"WV","54105",5821
"KS","20189",5485
"NV","32015",5532
"KS","20201",5406
"NC","37095",4937
"MT","30015",5635
"CO","08025",6061
"GA","13301",5254
"NE","31059",5462
"MN","27081",5639
"TX","48207",5658
"SD","46057",6164
"TX","48305",5951
"WI","55051",5687
"KS","20127",5620
"OK","40029",5495
"VA","51595",5346
"VA","51580",5538
"ID","16007",6125
"IL","17175",5342
"NE","31051",5636
"IL","17155",5739
"KS","20069",5988
"KS","20181",5917
"MN","27051",5972
"KS","20077",5436
"GA","13259",6621
"TX","48107",5737
"TX","48205",5576
"MT","30099",6147
"KS","20143",5704
"CO","08109",6824
"IA","19009",5496
"GA","13201",5718
"IN","18115",5875
"NE","31167",5920
"TX","48411",6055
"MT","30073",5911
"IL","17153",5335
"TX","48065",5926
"OK","40033",5666
"VA","51515",6222
"OK","40055",5712
"MO","29035",5982
"NE","31093",6445
"KY","21165",6489
"VT","50009",6163
"IA","19173",6121
"ND","38053",15024
"TN","47127",6488
"KS","20123",5979
"MO","29205",5930
"IA","19185",6441
"SD","46115",6376
"PA","42113",6066
"ND","38009",6282
"TX","48153",5712
"TX","48169",6229
"IA","19143",5958
"OK","40067",6002
"SD","46101",6576
"NE","31099",6495
"MT","30005",6681
"KS","20053",6102
"CO","08011",5577
"NE","31035",6203
"MN","27167",6207
"UT","49001",6710
"MI","26095",6229
"VA","51530",6478
"ND","38005",6832
"CO","08103",6324
"NE","31003",6298
"KS","20073",5982
"GA","13037",6189
