"USPS","geoid","pop2019est"
"VA","51075",23753
"MS","28101",21018
"OR","41031",24658
"WV","54043",20409
"KY","21051",19901
"AR","05107",17782
"TX","48457",21672
"GA","13091",20605
"AR","05003",19657
"GA","13189",21312
"TX","48341",20940
"MS","28043",20758
"TN","47129",21403
"GA","13199",21167
"TN","47133",22241
"GA","13119",23349
"NC","37131",19483
"LA","22093",21096
"WV","54047",17624
"OK","40009",21859
"TX","48489",21358
"IL","17051",21336
"TX","48233",20938
"AR","05149",21341
"TN","47151",22068
"MS","28139",22015
"TN","47111",24602
"MO","29083",21824
"VA","51163",22573
"LA","22043",22389
"NE","31067",21513
"GA","13085",26108
"OR","41027",23382
"IL","17145",20916
"AR","05083",21466
"IL","17173",21634
"OR","41015",22925
"ID","16053",24412
"IA","19123",22095
"ND","38105",37589
"SD","46135",22814
"TX","48179",21886
"VA","51600",24019
"FL","12123",21569
"MS","28039",24500
"VA","51670",22529
"GA","13107",22646
"AR","05057",21532
"OH","39175",21772
"SC","45011",20866
"ID","16075",23951
"TN","47057",23320
"IL","17085",21235
"OK","40001",22194
"CO","08075",22409
"LA","22111",22108
"LA","22077",21730
"AL","01111",22722
"AL","01007",22394
"TX","48219",23021
"ID","16031",24030
"KS","20175",21428
"IL","17083",21773
"AR","05019",22320
"LA","22075",23197
"AL","01099",20733
"MO","29119",22837
"CO","08039",26729
"IN","18047",22758
"TX","48007",23510
"VA","51169",21566
"MN","27093",23222
"GA","13033",22383
"KY","21205",24460
"CO","08119",25388
"KY","21115",22188
"IN","18149",22995
"VA","51147",22802
"MO","29147",22092
"MO","29195",22761
"TX","48293",23437
"MS","28057",23390
"LA","22007",21891
"GA","13081",22372
"MO","29177",23018
"GA","13205",21863
"CO","08107",25638
"MI","26133",23460
"UT","49051",34091
"NC","37053",27763
"MI","26009",23324
"VA","51099",26836
"GA","13035",24936
"GA","13111",26188
"WI","55049",23678
"NC","37033",22604
"TX","48225",22968
"VA","51790",24932
"OH","39105",22907
"LA","22121",26465
"TX","48365",23194
"WV","54109",20394
"MS","28079",22786
"KY","21183",23994
"SC","45039",22347
"WV","54027",23175
"MI","26109",22780
"VA","51139",23902
"WV","54009",21939
"SD","46081",25844
"VA","51027",21004
"KS","20191",22836
"MI","26137",24668
"IN","18143",23873
"ND","38089",31489
"LA","22085",23884
"WV","54097",24176
"IA","19017",25062
"IN","18041",23102
"VA","51630",29036
"NE","31047",23595
"MI","26143",24019
"VT","50015",25362
"AL","01133",23629
"WI","55137",24443
"NC","37117",22440
"KY","21217",25769
"KY","21133",21553
"AR","05027",23457
"TX","48149",25346
"AR","05111",23528
"WV","54005",21457
"PA","42067",24763
"IN","18181",24102
"KY","21081",25069
"NC","37091",23677
"TN","47081",25178
"MO","29055",23920
"MI","26101",24558
"KY","21137",24549
"MO","29131",25619
"TX","48331",24823
"SC","45053",30073
"VA","51775",25301
"TX","48171",26988
"NV","32001",24909
"MN","27153",24664
"FL","12133",25473
"IL","17165",23491
"KY","21239",26734
"IA","19149",25177
"GA","13131",24633
"NM","35029",23709
"MO","29221",24730
"GA","13147",26205
"OR","41065",26682
"NE","31025",26248
"OR","41057",27036
"MS","28117",25126
"NY","36123",24913
"MO","29175",24748
"SC","45001",24527
"SD","46093",28332
"TX","48419",25274
"OK","40133",24258
"GA","13267",25286
"MO","29007",25388
"CO","08083",26183
"AR","05071",26578
"VA","51105",23423
"MO","29001",25343
"VA","51065",27270
"MI","26051",25449
"IN","18031",26559
"KY","21085",26427
"OR","41061",26835
"LA","22003",25627
"AL","01025",23622
"TN","47185",27345
"MN","27083",25474
"MI","26069",25127
"MN","27015",25008
"IN","18129",25427
"MI","26029",26143
"AR","05023",24919
"AL","01019",26196
"KS","20059",25544
"MO","29215",25398
"GA","13055",24789
"TN","47071",25652
"TN","47109",25694
"IA","19011",25645
"MN","27095",26277
"AR","05103",23382
"ID","16051",29871
"MS","28027",22124
"MI","26031",25276
"MI","26043",25239
"IN","18135",24665
"GA","13257",25925
"VA","51840",28078
"WV","54067",24496
"IA","19015",26234
"TX","48407",28859
"TX","48463",26741
"GA","13207",27578
"OK","40065",24530
"MD","24039",25616
"KY","21173",28157
"MI","26127",26467
"TX","48185",28880
"LA","22031",27463
"WI","55057",26687
"AL","01061",26271
"KY","21141",27102
"WV","54059",23424
"IN","18021",26225
"NC","37007",24446
"SC","45037",27260
"ID","16039",27511
"NY","36049",26296
"MS","28091",24573
"FL","12003",29210
"MS","28145",28815
"GA","13311",30798
"GA","13293",26320
"NM","35006",26675
"GA","13279",26830
"SD","46029",28009
"VT","50019",27037
"TN","47069",25050
"NC","37009",27203
"WV","54053",26516
"NC","37039",28612
"AR","05015",28380
"AL","01005",24686
"OK","40039",29003
"ND","38059",31364
"MS","28127",26658
"OK","40049",27711
"IN","18179",28296
"KS","20009",25779
"GA","13225",27546
"MN","27079",28887
"KY","21043",26797
"FL","12049",26937
"TN","47077",28117
"WI","55029",27668
"NC","37123",27173
"TN","47097",25633
"UT","49039",30939
"GA","13087",26404
"LA","22067",24874
"CO","08117",31011
"VA","51053",28544
"VA","51145",29652
"MS","28163",29690
"TX","48363",29189
"GA","13195",29880
"CA","06021",28393
"CO","08087",29068
"WY","56029",29194
"WV","54057",26868
"OH","39069",27006
"TN","47115",28907
"AR","05123",24994
"IN","18175",28036
"MS","28123",28124
"PA","42131",26794
"GA","13123",31369
"GA","13177",29992
"TX","48015",30032
"KY","21021",30060
"KS","20051",28553
"FL","12007",28201
"TN","47017",27767
"IN","18079",27735
"VA","51033",30725
"OH","39001",27698
"MN","27021",29779
"KY","21163",28572
"CA","06015",27812
"GA","13169",28735
"KY","21013",26032
"MI","26105",29144
"OH","39131",27772
"KY","21193",25758
"WI","55069",27593
"OH","39161",28275
"MT","30047",30458
"GA","13143",29792
"MO","29127",28530
"WI","55121",29649
"IN","18137",28324
"OH","39019",26914
"MS","28137",28321
"VA","51167",26586
"SC","45069",26118
"VT","50017",28892
"SC","45087",27316
"OH","39047",28525
"WY","56033",30485
"KS","20113",28542
"WV","54035",28576
"VA","51197",28684
"KY","21095",26010
"OH","39073",28264
"NM","35047",27277
"WV","54083",28695
"GA","13227",32591
"MS","28029",28065
"MS","28133",25110
"TN","47055",29464
"NM","35017",26998
"MI","26007",28405
"OK","40015",28762
"MS","28099",29118
"IL","17075",27114
"MN","27115",29579
"WI","55123",30822
"WA","53031",32221
"MS","28115",32174
"GA","13187",33610
"MO","29207",29025
"VA","51035",29791
"MD","24023",29014
"GA","13305",29927
"IL","17135",28414
"GA","13029",39627
"IL","17107",28618
"TX","48067",30026
"TN","47117",34375
"WV","54029",28810
"ME","23007",30199
"AL","01093",29709
"FL","12129",33739
"MI","26035",30950
"OH","39053",29898
"CO","08029",31162
"MO","29167",32149
"VT","50005",29993
"MN","27047",30281
"AK","02110",31974
"OR","41045",30571
"NE","31001",31363
"KY","21157",31100
"KY","21177",30622
"LA","22053",31368
"MN","27119",31364
"IN","18027",33351
"AL","01059",31362
"TN","47131",30069
"TN","47143",33167
"OK","40115",31127
"TX","48025",32565
"KY","21121",31145
"PA","42047",29910
"MO","29069",29131
"SD","46011",35077
"GA","13145",35236
"OH","39065",31365
"TX","48273",30680
"SC","45033",30479
"MO","29209",31952
"VA","51173",30104
"TN","47025",31959
"NE","31141",33470
"MS","28001",30693
"MS","28083",28183
"TN","47079",32345
"TX","48449",32750
"VA","51009",31605
"VA","51730",31346
"IN","18077",32308
"MN","27005",34423
"MO","29219",35649
"UT","49047",35734
"IL","17109",29682
"MD","24019",31929
"MI","26047",33415
"MN","27103",34274
"VA","51117",30587
"MI","26165",33631
"NY","36095",30999
"KS","20121",34237
"GA","13219",40280
"GA","13261",29524
"ME","23029",31379
"IN","18169",30996
"AL","01109",33114
"AR","05059",33771
"NM","35055",32723
"IL","17133",34637
"NH","33007",31563
"SC","45067",30657
"MD","24011",33406
"NC","37175",34385
"WV","54051",30531
"MI","26063",30981
"SC","45023",32244
"VA","51023",33419
"OK","40089",32832
"VA","51109",37591
"VA","51001",32316
"IN","18055",31922
"MN","27097",33386
"IN","18023",32399
"OH","39079",32413
"IN","18183",33964
"IA","19125",33253
"TN","47103",34366
"MO","29107",32708
"LA","22047",32511
"TX","48259",47431
"IL","17157",31782
"IN","18073",33562
"VA","51137",37051
"IN","18051",33659
"WV","54077",33432
"KS","20111",33195
"IA","19167",34855
"TX","48477",35882
"KS","20057",33619
"TX","48147",35514
"NC","37055",37009
"NC","37113",35858
"LA","22039",33395
"MS","28011",30628
"IN","18151",34594
"MT","30093",34915
"AL","01017",33254
"IL","17049",34008
"OK","40081",34877
"AL","01079",32924
"KS","20061",31670
"IN","18001",35777
"SC","45089",30368
"ME","23015",34634
"OH","39137",33861
"OK","40087",40474
"KS","20079",34429
"WI","55019",34774
"MS","28107",34192
"IL","17021",32304
"OH","39117",35328
"FL","12027",38001
"MS","28085",34153
"VA","51155",34027
"NE","31119",35099
"CA","06035",30573
"SC","45027",33745
"IL","17011",32628
"TX","48227",36664
"TN","47183",33328
"TX","48217",36649
"TX","48071",43837
"TX","48223",37084
"NC","37017",32722
"NY","36099",34016
"VA","51093",37109
"ME","23023",35856
"MN","27017",35871
"KS","20125",31829
"WV","54025",34662
"IL","17137",33658
"MO","29105",35723
"MO","29009",35789
"KY","21049",36263
"IA","19179",34969
"KY","21235",36264
"LA","22011",37497
"TN","47029",36004
"TX","48241",35529
"VA","51149",38353
"IA","19111",33657
"LA","22087",47244
"WI","55085",35595
"MN","27041",38141
"IL","17103",34096
"OH","39127",36134
"NC","37165",34823
"MO","29225",39592
"VA","51083",33911
"TX","48189",33406
"NE","31111",34914
"WY","56001",38880
"KS","20035",34908
"GA","13299",35734
"UT","49043",42145
"SD","46013",38839
"MN","27147",36649
"MI","26061",35684
"AR","05063",37825
"MN","27085",35893
"NE","31053",36565
"TX","48321",36643
"WV","54045",32019
"KS","20055",36467
"VT","50001",36777
"IA","19099",37185
"WI","55045",36960
"VA","51073",37348
"OH","39031",36600
"AR","05009",37432
"IN","18103",35516
"KY","21089",35098
"NE","31157",35618
"MS","28095",35252
"OR","41007",40224
"MS","28003",36953
"IL","17057",34340
"MI","26041",35784
"KY","21083",37266
"IN","18069",36520
"VT","50003",35470
"IN","18087",39614
"MS","28093",35294
"KY","21035",39001
"NC","37003",37497
"AZ","04009",38837
"ID","16057",40108
"OK","40123",38284
"SC","45071",38440
"ID","16065",39907
"VA","51187",40164
"OH","39171",36692
"WI","55083",37930
"IL","17027",37562
"AL","01039",37049
"MD","24041",37181
"MN","27059",40596
"VA","51683",41085
"TX","48143",42698
"IN","18133",37576
"IA","19187",35904
"TX","48055",43664
"CA","06005",39752
"TX","48049",37864
"IN","18107",38338
"AL","01053",36633
"TN","47045",37159
"NC","37197",37667
"TN","47047",41133
"WA","53017",43429
"TX","48097",41257
"IN","18083",36594
"MN","27009",40889
"MI","26033",37349
"MO","29109",38355
"IL","17203",38459
"PA","42059",36233
"ME","23027",39715
"IL","17081",37684
"SC","45029",37677
"IL","17105",35648
"IN","18017",37689
"OH","39039",38087
"TN","47021",40667
"KS","20037",38818
"FL","12051",42022
"MN","27099",40062
"MO","29201",38280
"PA","42035",38632
"ID","16069",40408
"TX","48459",41753
"IN","18061",40515
"NY","36031",36885
"IL","17121",37205
"KY","21071",35589
"NC","37145",39490
"IL","17055",38469
"LA","22069",38158
"GA","13213",40096
"PA","42109",40372
"ME","23013",39772
"TN","47177",41277
"PA","42031",38438
"FL","12093",42168
"OK","40111",38465
"OH","39059",38875
"OH","39021",38885
"GA","13277",40644
"WY","56013",39261
"MT","30081",43806
"NM","35039",38921
"NC","37099",43938
"IA","19057",38967
"MO","29091",40117
"MS","28113",39288
"IA","19127",39369
"NC","37139",39824
"TN","47013",39842
"FL","12075",41503
"OH","39107",41172
"TX","48249",40482
"ID","16017",45739
"WA","53037",47935
"WI","55093",42754
"TN","47051",42208
"WA","53047",42243
"LA","22119",38340
"NC","37059",42846
"OK","40097",41100
"CO","08085",42758
"TX","48481",41556
"OH","39123",40525
"VA","51195",37383
"GA","13233",42613
"OK","40041",43009
"AR","05005",41932
"FL","12121",44417
"AL","01123",40367
"AR","05139",38682
"WI","55075",40350
"PA","42123",39191
"OK","40083",48011
"TN","47099",44142
"IN","18037",42736
"WI","55115",40899
"TX","48499",45539
"PA","42117",40591
"VA","51171",43616
"OH","39027",41968
"LA","22009",40144
"KY","21211",49024
"AR","05055",45325
"NY","36121",39859
"KY","21009",44249
"MO","29159",42339
"IN","18033",43475
"MN","27067",43199
"OH","39135",40882
"GA","13069",43273
"OH","39075",43960
"IN","18071",44231
"OK","40135",41569
"OK","40013",47995
"MI","26057",40711
"WV","54099",39402
"OH","39051",42126
"IA","19139",42664
"TX","48053",48155
"MO","29023",42478
"MI","26107",43453
"NY","36073",40352
"TX","48493",51070
"GA","13137",45328
"VA","51590",40044
"MI","26151",41170
"TX","48473",55246
"PA","42115",40328
"OH","39097",44731
"KY","21179",46233
"PA","42083",40625
"AR","05091",43257
"VA","51540",47266
"WA","53065",45723
"OH","39071",43161
"AL","01021",44428
"NH","33019",43146
"OH","39033",41494
"WY","56037",42343
"AL","01047",37196
"WI","55033",45368
"MS","28045",47632
"NV","32023",46523
"MO","29029",46305
"IA","19033",42450
"WI","55031",43150
"WI","55095",43783
"MO","29027",44743
"IN","18145",44729
"MN","27007",47188
"WV","54069",41411
"VT","50025",42222
"TN","47123",46545
"WI","55081",46253
"GA","13275",44451
"WA","53075",50104
"SD","46083",61128
"OH","39015",43432
"CA","06093",43539
"TX","48013",51153
"PA","42119",44923
"NC","37111",45756
"OK","40137",43143
"MN","27061",45130
"TN","47003",49713
"VA","51185",40595
"MO","29161",44573
"PA","42065",43425
"MI","26023",43517
"TX","48373",51353
"NC","37181",44535
"GA","13071",45600
"CA","06009",45905
"ID","16011",46811
"GA","13009",44890
"OK","40121",43654
"OH","39091",45672
"WI","55005",45244
"PA","42061",45144
"LA","22095",42837
"OH","39011",45656
"PA","42099",46272
"TX","48325",51584
"OR","41041",49962
"WV","54019",42406
"NE","31019",49659
"WY","56005",46341
"IN","18093",45370
"UT","49021",54839
"MN","27049",46340
"IA","19181",51466
"KY","21101",45210
"FL","12039",45660
"AR","05093",40651
"OK","40071",43538
"NC","37153",44829
"PA","42087",46138
"MI","26059",45605
"VA","51047",52605
"SC","45025",45650
"LA","22061",46742
"CO","08043",47839
"KY","21107",44686
"NC","37093",55234
"OK","40021",48657
"NV","32005",48905
"IN","18099",46258
"LA","22117",46194
"KY","21209",57004
"MS","28071",54019
"NC","37169",45591
"AZ","04023",46498
"OK","40113",46963
"IN","18113",47744
"OK","40019",48111
"MS","28105",49587
"IL","17177",44498
"TX","48349",50113
"VT","50011",49402
"NC","37013",46994
"IL","17117",44926
"MD","24035",50381
"NH","33003",48910
"NY","36025",44135
"NM","35009",48954
"GA","13175",47546
"MI","26123",48980
"TN","47105",54068
"KY","21113",54115
"MS","28149",45381
"NV","32007",52778
"TX","48465",49025
"VA","51660",53016
"NY","36003",46091
"WI","55015",50089
"IA","19045",46429
"NY","36039",47188
"KY","21073",50991
"NY","36023",47581
"OR","41009",52354
"OH","39149",48590
"IN","18065",47972
"KY","21019",46718
"TX","48265",52600
"TN","47043",53948
"TN","47053",49133
"FL","12063",46414
"PA","42009",47888
"TX","48277",49859
"RI","44001",48479
"AL","01031",52342
"UT","49003",56046
"IN","18029",49458
"IL","17063",51054
"NY","36057",49221
"AL","01045",49172
"OK","40079",49853
"NY","36017",47207
"IL","17073",48913
"GA","13039",54666
"TX","48073",52646
"AR","05035",47955
"OK","40147",51527
"NC","37189",56177
"NY","36107",48203
"MS","28151",43909
"TX","48221",61643
"WI","55043",51439
"CO","08067",56221
"TN","47089",54495
"MD","24047",52276
"MN","27169",50484
"NY","36033",50022
"MO","29213",55928
"NV","32019",57510
"LA","22099",53431
"CO","08037",55127
"NC","37141",63060
"ME","23025",50484
"GA","13103",64296
"TN","47107",53794
"MO","29169",52607
"MI","26027",51787
"OH","39159",58988
"LA","22115",47429
"WI","55135",50990
"OK","40051",55834
"MO","29113",59013
"TX","48467",56590
"MO","29101",54062
"LA","22089",53100
"TN","47031",56520
"PA","42127",51361
"IL","17095",49699
"AL","01113",57961
"OH","39037",51113
"OH","39005",53484
"AL","01071",51626
"TX","48401",54406
"IL","17141",50643
"WV","54037",57146
"AZ","04007",54018
"NM","35015",58460
"IL","17029",50621
"MN","27025",56579
"VA","51089",50557
"IL","17007",53544
"TN","47145",53382
"TX","48323",58722
"ME","23009",54987
"AL","01033",55241
"AL","01001",55869
"TX","48199",57602
"LA","22101",49348
"NC","37083",50010
"VA","51031",54885
"VA","51191",53740
"PA","42121",50668
"FL","12131",74071
"GA","13129",57963
"CA","06069",62808
"NV","32510",55916
"SC","45021",57300
"CA","06109",54478
"AK","02122",58708
"WV","54079",56450
"NY","36035",53383
"KS","20169",54224
"MS","28073",63343
"OH","39129",58457
"MI","26157",52245
"MS","28109",55535
"CO","08014",70465
"TN","47035",60520
"VA","51067",56042
"CO","08045",60061
"WV","54049",56072
"NC","37065",51472
"IN","18011",67843
"VT","50027",55062
"OH","39147",55178
"TN","47073",56786
"WI","55021",57532
"MN","27111",58746
"AL","01009",57826
"PA","42103",55809
"TN","47019",56391
"ME","23017",57975
"NC","37105",61779
"LA","22113",59511
"NC","37047",55508
"MO","29145",58236
"UT","49045",72259
"TX","48001",57735
"IL","17195",55175
"NC","37061",58741
"NE","31079",61353
"WA","53071",60760
"KY","21125",60813
"MN","27027",64222
"NC","37087",62317
"TX","48497",69984
"MI","26015",61550
"NC","37107",55949
"VT","50023",58409
"OH","39077",58266
"IN","18173",62998
"MS","28087",58595
"NC","37077",60443
"NY","36037",57280
"NH","33001",61303
"SC","45043",62680
"IL","17077",56750
"KY","21185",66799
"GA","13157",72977
"OK","40047",61056
"NC","37167",62806
"NC","37069",69685
"WA","53045",66768
"OH","39083",62322
"OH","39143",58518
"TX","48427",64633
"TN","47167",61599
"MI","26149",60964
"VT","50021",58191
"ND","38101",67641
"SC","45055",66551
"AR","05115",64072
"LA","22001",62045
"OH","39167",59911
"AR","05033",63257
"WI","55111",64442
"NY","36077",59493
"WV","54055",58758
"WI","55017",64658
"OH","39087",59463
"MN","27035",65055
"TN","47063",64934
"PA","42015",60323
"OR","41011",64487
"KY","21199",64979
"NY","36021",59461
"NY","36115",61204
"MI","26117",63888
"MT","30049",69432
"NC","37163",63531
"GA","13179",61435
"CA","06103",65084
"NC","37037",74470
"VA","51143",60354
"NM","35035",67490
"MI","26067",64697
"GA","13047",67580
"MN","27013",67653
"GA","13255",66703
"MN","27131",66972
"KS","20155",61998
"NY","36043",61319
"TX","48347",65204
"CA","06033",64386
"NM","35025",71070
"OH","39009",65327
"TX","48409",66730
"KY","21195",57876
"VA","51061",71222
"PA","42025",64182
"MO","29187",67215
"NY","36051",62914
"VA","51199",68280
"KY","21145",65418
"TX","48203",66553
"NM","35005",64615
"NY","36113",63944
"KS","20015",66911
"NJ","34033",62385
"IA","19049",93453
"TN","47147",71813
"IL","17199",66597
"OR","41035",68238
"NC","37031",69473
"OH","39101",65093
"SC","45059",67493
"ND","38035",69451
"VA","51095",76523
"AL","01127",63521
"GA","13285",69922
"MI","26103",66699
"HI","15007",72293
"IL","17001",65435
"PA","42037",64964
"FL","12023",71686
"MS","28067",68098
"NC","37161",67029
"TX","48471",72971
"AR","05085",73309
"VA","51019",78997
"SC","45031",66618
"GA","13295",69761
"TN","47059",69069
"IN","18109",70489
"IN","18177",65884
"PA","42005",64735
"WV","54033",67256
"NC","37193",68412
"GA","13013",83240
"OK","40125",72592
"SC","45047",70811
"OH","39081",65325
"OK","40037",71522
"IN","18059",78168
"WI","55097",70772
"IN","18053",65769
"GA","13031",79608
"MI","26073",69872
"OH","39013",67006
"MI","26155",68122
"OK","40101",67997
"AL","01049",71513
"KS","20161",74232
"MA","25011",70180
"WA","53009",77331
"NM","35031",71367
"AZ","04001",71887
"ME","23003",67055
"CA","06115",78668
"TN","47141",80245
"WA","53007",77200
"WA","53027",75061
"OK","40145",81289
"FL","12087",74228
"LA","22045",69830
"FL","12089",88625
"NY","36053",70941
"NC","37171",71783
"VA","51015",75558
"KY","21047",70461
"TX","48021",88723
"SC","45073",79546
"KY","21029",81676
"FL","12107",74521
"IN","18043",78522
"WI","55141",72999
"OH","39063",75783
"MS","28035",74897
"MD","24001",70416
"TN","47001",76978
"MI","26037",79595
"TX","48099",75951
"OR","41053",86085
"WY","56025",79858
"WA","53041",80707
"VA","51680",82168
"TX","48291",88219
"MO","29031",78871
"OR","41059",77950
"MO","29051",76745
"KS","20103",81758
"MI","26159",75677
"VA","51165",81948
"NM","35061",76688
"SC","45057",98012
"IN","18005",83779
"AR","05145",78753
"OH","39043",74266
"NH","33005",76085
"ID","16083",86878
"OK","40119",81784
"IN","18085",79456
"MO","29043",88595
"AR","05069",66824
"NY","36105",75432
"PA","42111",73447
"OH","39141",76666
"WA","53021",95222
"NC","37109",86111
"VA","51069",89313
"TX","48397",104915
"WA","53029",85141
"TX","48213",82737
"WV","54081",73361
"AL","01051",81209
"OH","39145",75314
"GA","13127",85292
"NY","36011",76576
"MS","28075",74125
"NY","36009",76117
"AL","01043",83768
"TN","47119",96387
"NC","37195",81801
"ND","38015",95626
"MT","30013",81366
"WI","55071",78981
"IL","17183",75758
"PA","42033",79255
"TX","48361",83396
"NY","36019",80485
"AL","01121",79978
"OR","41033",87487
"IN","18067",82544
"AL","01083",98915
"ID","16005",87808
"RI","44005",82082
"MS","28081",85436
"KY","21151",92987
"NC","37027",82178
"LA","22097",82124
"AL","01115",89512
"MI","26111",83156
"WI","55055",84769
"GA","13297",94593
"WI","55109",90687
"VA","51800",92108
"GA","13247",90896
"OR","41003",93053
"OH","39119",86215
"TX","48231",98594
"WI","55089",89221
"TX","48005",86715
"TX","48469",92084
"OK","40131",92459
"WV","54107",83518
"MI","26055",93088
"CA","06045",86749
"NC","37125",100880
"MI","26087",87607
"MN","27141",97238
"MD","24009",92525
"WI","55027",87839
"PA","42039",84629
"NY","36015",83456
"PA","42063",84073
"AK","02170",108317
"NH","33009",89886
"WA","53025",97733
"MO","29021",87364
"MO","29165",104418
"MT","30031",114434
"IA","19169",97117
"TN","47155",98250
"KY","21037",93584
"NC","37023",90485
"MT","30029",103806
"MN","27019",105089
"PA","42073",85512
"WY","56021",99500
"VA","51161",94186
"SC","45075",86175
"TX","48037",93245
"OH","39157",91987
"AL","01077",92729
"AL","01095",96774
"IA","19155",93206
"OH","39055",93649
"FL","12119",132420
"NC","37157",91010
"IA","19061",97311
"NY","36117",89918
"VA","51121",98535
"PA","42097",90843
"GA","13095",87956
"CA","06101",96971
"MS","28089",106272
"VA","51740",94398
"FL","12035",115081
"NC","37127",94298
"AR","05051",99386
"WV","54061",105612
"GA","13115",98498
"LA","22057",97614
"WV","54011",91945
"AR","05031",110332
"KY","21059",101511
"VA","51770",99143
"NJ","34009",92039
"AK","02090",96849
"NC","37045",97947
"TN","47113",97984
"MD","24045",103609
"WI","55035",104646
"CA","06057",99755
"FL","12055",106221
"TN","47011",108110
"VA","51003",109330
"NY","36101",95379
"OR","41071",107100
"MO","29037",105780
"NY","36079",98320
"VA","51085",107766
"MI","26091",98451
"GA","13217",111744
"GA","13015",107738
"SD","46103",113775
"MD","24015",102855
"PA","42001",103009
"MO","29071",103967
"OH","39007",97241
"AL","01069",105882
"NY","36109",102180
"WI","55039",103403
"IA","19193",103107
"WI","55127",103868
"WA","53015",110593
"OH","39109",106987
"GA","13313",104628
"TX","48257",136154
"NC","37049",102139
"WV","54003",119171
"ID","16019",119062
"AL","01055",102268
"MD","24037",113510
"IL","17037",104897
"KY","21093",110958
"OH","39003",102351
"GA","13113",114421
"NC","37089",117417
"AR","05125",122437
"LA","22005",126604
"NC","37019",142820
"AZ","04017",110924
"SC","45085",106721
"OR","41019",110980
"ME","23001",108277
"MI","26045",110268
"MI","26017",103126
"OH","39029",101883
"IN","18167",107038
"NY","36069",109777
"TX","48091",156209
"NJ","34041",105267
"GA","13185",117406
"MT","30063",119600
"TX","48451",119200
"IN","18019",118302
"GA","13045",119992
"IL","17115",104009
"KS","20045",122259
"MI","26005",118081
"IN","18091",109888
"LA","22109",110461
"NY","36089",107740
"UT","49005",128289
"AR","05045",126007
"IL","17091",109862
"KY","21227",132896
"IL","17099",108669
"TN","47189",144657
"OH","39169",115710
"WI","55063",118016
"NC","37085",135976
"IL","17093",128990
"WI","55117",115340
"OK","40017",148306
"PA","42081",113299
"NY","36045",109834
"PA","42085",109424
"OR","41043",129749
"GA","13059",128331
"WA","53057",129205
"TX","48367",142878
"LA","22015",127039
"MO","29097",121328
"IN","18035",114135
"CT","09015",116782
"AL","01015",113605
"KY","21015",133581
"SC","45077",126884
"AL","01103",119679
"TX","48381",137713
"TX","48181",136212
"TX","48375",117415
"LA","22105",134758
"TX","48183",123945
"NY","36075",117124
"ME","23011",122302
"VA","51177",136215
"NC","37191",123131
"TN","47179",129375
"TN","47009",133088
"NH","33017",130633
"GA","13073",156714
"OK","40031",120749
"OH","39139",121154
"MN","27171",138377
"OH","39173",130817
"AR","05131",127827
"RI","44009",125577
"PA","42013",121829
"GA","13077",148509
"LA","22063",140789
"NJ","34019",124371
"VA","51179",152882
"MN","27139",149013
"NM","35045",123958
"IA","19103",151140
"IA","19013",131228
"MA","25003",124944
"AZ","04003",125922
"TX","48485",132230
"TX","48441",138034
"TX","48187",166847
"NM","35043",146748
"LA","22079",129648
"IN","18095",129569
"WI","55131",136034
"GA","13097",146343
"PA","42075",141793
"NC","37135",148476
"WI","55073",135692
"NC","37155",130625
"AZ","04005",143476
"CA","06023",135558
"NY","36013",126903
"IL","17179",131803
"MI","26025",134159
"CA","06055",137744
"SC","45035",162809
"PA","42051",129274
"TX","48329",176832
"SC","45041",138293
"TX","48135",166223
"VA","51650",134510
"IN","18105",148431
"FL","12061",159923
"UT","49053",177556
"OH","39023",134083
"NC","37159",142088
"ID","16055",165697
"IN","18081",158167
"MS","28059",143617
"GA","13153",157863
"VA","51510",159428
"AL","01081",164542
"FL","12017",149657
"MS","28121",155271
"NC","37151",143667
"GA","13223",168667
"PA","42021",130192
"NM","35049",150358
"MN","27109",158293
"IN","18063",170311
"OH","39045",157574
"FL","12085",161000
"NH","33013",151391
"MD","24017",163257
"CO","08077",154210
"MD","24043",151049
"IL","17161",141879
"MT","30111",161300
"PA","42107",141359
"NJ","34037",140488
"TX","48139",184826
"PA","42055",155027
"ND","38017",181923
"MN","27145",161075
"CA","06039",157327
"TX","48251",175817
"NC","37001",169509
"FL","12113",184313
"MI","26115",150500
"CT","09013",150721
"CA","06031",152940
"LA","22073",153279
"ME","23019",152148
"PA","42027",162385
"NC","37035",159551
"NY","36093",155299
"HI","15009",167417
"GA","13021",153159
"VT","50007",163774
"MI","26021",153401
"TN","47163",158348
"NJ","34011",149527
"TX","48209",230191
"KS","20209",165429
"OR","41017",197692
"MA","25015",160830
"NE","31153",187196
"CO","08101",168424
"NY","36083",158714
"NC","37097",181806
"KY","21117",166998
"FL","12015",188910
"SC","45003",170872
"MI","26075",158510
"WI","55105",163354
"TN","47165",191283
"MS","28033",184945
"OH","39133",162466
"OH","39057",168937
"SC","45013",192122
"DE","10001",180786
"MO","29019",180463
"NC","37057",167609
"MI","26147",159128
"IN","18127",170389
"IA","19163",172943
"CT","09007",162436
"RI","44003",164292
"WI","55059",169561
"OH","39089",176862
"WI","55139",171907
"MD","24013",168447
"NC","37147",180742
"FL","12005",174705
"NC","37101",209339
"SD","46099",193134
"IL","17113",171517
"PA","42089",170271
"PA","42007",163929
"MI","26121",173566
"TN","47125",208993
"OH","39103",179746
"FL","12053",193920
"IN","18157",195732
