ori,dest,amount
55023,55103,274
55023,55105,12
55023,55107,6
55023,55111,72
55023,55121,14
55023,55123,1066
55023,55133,10
55025,55001,70
55025,55003,6
55025,55005,38
55025,55007,4
55025,55009,164
55025,55017,62
55025,55019,32
55025,55021,2810
55025,55023,46
55025,55027,1292
55025,55031,6
55025,55035,108
55025,55039,218
55025,55043,386
55025,55045,1856
55025,55047,152
55025,55049,1906
55025,55053,86
55025,55055,2940
55025,55057,158
55025,55059,52
55025,55063,282
55025,55065,108
55025,55071,12
55025,55073,92
55025,55077,22
55025,55079,1574
55025,55081,10
55025,55085,44
55025,55087,428
55025,55089,100
55025,55095,6
55025,55097,40
55025,55101,126
55025,55103,108
55025,55105,3780
55025,55109,6
55025,55111,3346
55025,55117,250
55025,55119,50
55025,55123,32
55025,55125,18
55025,55127,890
55025,55131,210
55025,55133,1788
55025,55137,18
55025,55139,514
55025,55141,84
55027,55005,6
55027,55009,66
55027,55021,2808
55027,55025,4680
55027,55033,6
55027,55039,5158
55027,55043,8
55027,55047,268
55027,55055,6698
55027,55057,36
55027,55059,20
55027,55063,32
55027,55071,6
55027,55073,6
55027,55075,20
55027,55077,12
55027,55078,8
55027,55079,2244
55027,55083,6
55027,55087,186
55027,55089,220
55027,55097,22
55027,55101,38
55027,55105,94
55027,55107,40
55027,55109,12
55027,55111,66
55027,55115,4
55027,55117,88
55027,55119,16
55027,55127,48
55027,55131,8016
55027,55133,5736
55027,55137,24
55027,55139,400
55027,55141,2
55029,55009,1860
55029,55015,2
55029,55019,84
55029,55025,26
55029,55039,10
55029,55055,8
55029,55061,1008
55029,55063,38
55029,55071,274
55029,55075,32
55029,55079,60
55029,55087,112
55029,55115,20
55029,55117,8
55029,55123,6
55029,55131,4
55029,55133,16
55029,55135,10
55029,55139,28
55031,55003,74
55031,55005,62
55031,55007,180
55031,55009,14
55031,55013,68
55031,55017,2
55031,55033,10
55031,55035,26
55031,55057,8
55031,55063,20
55031,55079,6
55031,55081,18
55031,55099,56
55031,55109,4
55031,55113,72
55031,55117,4
55031,55123,14
55031,55129,426
55031,55133,8
55031,55141,22
55033,55003,12
55033,55005,624
55033,55011,42
55033,55013,22
55033,55017,1488
55033,55019,36
55033,55025,100
55033,55031,22
55033,55035,6730
55033,55047,4
55033,55053,18
55033,55057,46
55033,55063,12
55033,55067,170
55033,55073,160
55033,55078,20
55033,55081,10
55033,55083,12
55033,55091,436
55033,55093,672
55033,55095,216
55033,55097,46
55033,55101,4
55033,55105,16
55033,55107,122
55033,55109,2248
55033,55111,6
55033,55113,12
55033,55121,32
55033,55123,36
55033,55127,22
55033,55129,118
55033,55133,80
55033,55139,12
55033,55141,10
55035,55003,104
55035,55005,352
55035,55009,50
55035,55011,538
55035,55013,4
55035,55017,10382
55035,55019,186
55035,55025,60
55035,55027,6
55035,55031,44
55035,55033,2220
55035,55053,164
55035,55057,14
55035,55059,16
55035,55063,188
55035,55069,106
55035,55071,74
55035,55073,206
55035,55078,8
55035,55079,40
55035,55081,136
55035,55085,24
55035,55087,46
55035,55091,332
55035,55093,46
55035,55095,8
55035,55097,20
55035,55101,18
55035,55107,62
55035,55109,352
55035,55111,60
55035,55113,38
55035,55115,20
55035,55117,12
55035,55119,32
55035,55121,2026
55035,55129,26
55035,55133,106
55035,55135,70
55035,55139,12
55035,55141,184
55037,55007,4
55037,55009,14
55037,55041,16
55037,55047,12
55037,55071,4
55037,55075,200
55037,55079,4
55037,55083,8
55037,55125,14
55037,55135,2
55037,55139,10
55039,55001,24
55039,55009,196
55039,55015,748
55039,55021,202
55039,55023,8
55039,55025,538
55039,55027,8428
55039,55035,10
55039,55043,8
55039,55047,1638
55039,55055,72
55039,55059,12
55039,55061,4
55039,55063,8
55039,55071,334
55039,55073,64
55039,55075,16
55039,55077,14
55039,55079,1364
55039,55083,6
55039,55087,1236
55039,55089,386
55039,55095,10
55039,55097,56
55039,55101,6
55039,55105,24
55039,55111,32
55039,55117,2672
55039,55119,26
55039,55125,4
55039,55127,16
55039,55131,3724
55039,55133,1222
55039,55135,16
55039,55137,26
55039,55139,6788
55039,55141,10
55041,55009,40
55041,55015,10
55041,55019,4
55041,55033,4
55041,55037,30
55041,55039,8
55041,55055,16
55041,55067,166
55041,55069,68
55041,55071,2
55041,55073,18
55041,55075,114
55041,55079,32
55041,55083,136
55041,55085,540
55041,55087,44
55041,55097,12
55041,55111,18
55041,55115,2
55041,55117,22
55041,55119,8
55041,55125,104
55041,55131,36
55041,55133,18
55041,55135,10
55041,55137,8
55041,55139,12
55041,55141,24
55043,55003,12
55043,55005,52
55043,55015,10
55043,55021,46
55043,55023,2058
55043,55025,816
55043,55035,26
55043,55039,12
55043,55045,78
55043,55049,3056
55043,55053,24
55043,55055,44
55043,55057,6
55043,55059,2
55043,55063,100
55043,55065,1280
55043,55078,16
55043,55079,22
55043,55081,32
55043,55089,2
55043,55095,4
55043,55097,68
55043,55103,1090
55043,55105,58
55043,55109,30
55043,55111,322
55043,55115,4
55043,55119,12
55043,55123,102
55043,55127,4
55043,55129,10
55043,55131,12
55043,55133,118
55043,55139,8
55045,55009,4
55045,55019,6
55045,55021,6
55045,55023,4
55045,55025,10904
55045,55027,12
55045,55043,22
55045,55049,194
55045,55055,42
55045,55059,8
55045,55061,8
55045,55063,16
55045,55065,510
55045,55079,52
55045,55081,14
55045,55087,28
55045,55101,32
55045,55103,14
55045,55105,1814
55045,55109,6
55045,55111,64
55045,55117,6
55045,55119,8
55045,55127,4
55045,55131,6
55045,55133,50
55045,55139,22
55047,55001,20
55047,55009,50
55047,55015,4
55047,55019,8
55047,55021,654
55047,55025,222
55047,55027,850
55047,55035,22
55047,55039,3134
55047,55045,4
55047,55053,12
55047,55057,12
55047,55059,8
55047,55073,20
55047,55077,302
55047,55079,112
55047,55081,4
55047,55087,138
55047,55089,8
55047,55097,4
55047,55101,16
55047,55111,32
55047,55117,2
55047,55131,22
55047,55133,54
55047,55135,82
55047,55137,664
55047,55139,1570
55049,55001,6
55049,55009,4
55049,55017,4
55049,55021,8
55049,55023,10
55049,55025,6506
55049,55039,12
55049,55043,1346
55049,55045,170
55049,55055,46
55049,55065,452
55049,55067,6
55049,55071,6
55049,55079,92
55049,55087,4
55049,55103,220
55049,55105,48
55049,55111,966
55049,55123,14
55049,55125,4
55049,55127,4
55049,55133,28
55049,55139,8
55049,55141,4
55051,55003,328
55051,55005,4
55051,55007,8
55051,55025,6
55051,55031,8
55051,55079,20
55051,55085,288
55051,55087,2
55051,55099,90
55051,55113,6
55051,55125,364
55051,55127,4
55051,55129,2
55053,55005,6
55053,55011,38
55053,55017,56
55053,55019,304
55053,55021,4
55053,55023,2
55053,55025,20
55053,55027,28
55053,55033,8
55053,55035,510
55053,55041,4
55053,55057,54
55053,55063,820
55053,55079,12
55053,55081,1540
55053,55093,16
55053,55097,12
55053,55111,10
55053,55113,4
55053,55117,6
55053,55121,1854
55053,55123,12
55053,55133,2
55053,55137,8
55053,55139,26
55053,55141,132
55055,55009,58
55055,55019,6
55055,55021,198
55055,55025,11246
55055,55027,4160
55055,55031,12
55055,55039,18
55055,55057,94
55055,55059,6
55055,55063,24
55055,55073,14
55055,55079,2884
55055,55081,4
55055,55087,78
55055,55089,66
55055,55101,234
55055,55105,1666
55055,55111,42
55055,55117,84
55055,55127,4612
55055,55131,408
55055,55133,13756
55055,55139,90
55055,55141,94
55057,55001,330
55057,55009,14
55057,55011,14
55057,55021,358
55057,55025,318
55057,55027,22
55057,55033,6
55057,55043,12
55057,55045,14
55057,55049,40
55057,55053,54
55057,55063,140
55057,55069,10
55057,55073,16
55057,55077,8
55057,55079,24
55057,55081,2366
55057,55089,2
55057,55099,6
55057,55101,18
55057,55103,48
55057,55107,6
55057,55111,3616
55057,55115,4
55057,55123,290
55057,55127,14
55057,55131,4
55057,55133,22
55057,55135,4
55057,55137,4
55057,55141,288
55059,55009,46
55059,55023,28
55059,55025,194
55059,55027,4
55059,55039,10
55059,55045,52
55059,55049,12
55059,55055,44
55059,55071,58
55059,55079,6048
55059,55089,110
55059,55099,40
55059,55101,16944
55059,55105,58
55059,55117,52
55059,55127,2256
55059,55131,98
55059,55133,2116
55059,55139,36
55061,55007,6
55061,55009,6586
55061,55015,28
55061,55019,6
55061,55025,24
55061,55027,6
55061,55029,1356
55061,55033,6
55061,55037,26
55061,55039,4
55061,55063,8
55061,55071,964
55061,55075,6
55061,55079,28
55061,55083,38
55061,55085,6
55061,55087,124
55061,55105,4
55061,55117,70
55061,55127,16
55061,55133,30
55061,55139,72
55063,55001,6
55063,55005,58
55063,55007,8
55063,55009,42
55063,55011,84
55063,55017,38
55063,55021,34
55063,55023,26
55063,55025,142
55063,55027,6
55063,55033,26
55063,55035,64
55063,55039,30
55063,55043,14
55063,55053,382
55063,55057,234
55063,55073,54
55063,55079,174
55063,55081,3780
55063,55087,112
55063,55093,24
55063,55097,18
55063,55101,36
55063,55103,32
55063,55105,64
55063,55109,30
55063,55111,140
55063,55121,1756
55063,55123,920
55063,55127,6
55063,55131,56
55063,55133,30
55063,55137,16
55063,55139,22
55063,55141,62
55065,55011,4
55065,55021,18
