"geoid","USPS","pop2010"
"51091","VA",2395
"51720","VA",3886
"51017","VA",4779
"51045","VA",5173
"42023","PA",5197
"51595","VA",5822
"51580","VA",5989
"51515","VA",6177
"42113","PA",6467
"51530","VA",6653
"51021","VA",6873
"51097","VA",6926
"51640","VA",6936
"51678","VA",6990
"51181","VA",7039
"51036","VA",7205
"51157","VA",7376
"42053","PA",7585
"51620","VA",8549
"51115","VA",9004
"51159","VA",9328
"51049","VA",9855
"51119","VA",10831
"51057","VA",10901
"51610","VA",11465
"51103","VA",11478
"51735","VA",12099
"51183","VA",12167
"51081","VA",12181
"51133","VA",12419
"51007","VA",12517
"51131","VA",12572
"51037","VA",12644
"51111","VA",12968
"51685","VA",13195
"51113","VA",13342
"51830","VA",13421
"51043","VA",14013
"51690","VA",14029
"51011","VA",14653
"42057","PA",14839
"51125","VA",14989
"51063","VA",15030
"51101","VA",15509
"51135","VA",15819
"51077","VA",15855
"51051","VA",15966
"51750","VA",16318
"51005","VA",16406
"51029","VA",16874
"51071","VA",17205
"51193","VA",17237
"51570","VA",17472
"42105","PA",17583
"51127","VA",17655
"51520","VA",17704
"51025","VA",17707
"51079","VA",18082
"42093","PA",18152
"51175","VA",18493
"51141","VA",18643
"24029","MD",20018
"51820","VA",20885
"51075","VA",21136
"51600","VA",22058
"51163","VA",22217
"51670","VA",22506
"51147","VA",22723
"51099","VA",22794
"51169","VA",23234
"51630","VA",23375
"51790","VA",23806
"51139","VA",24116
"42067","PA",24385
"51027","VA",24459
"51775","VA",24641
"51065","VA",25308
"51105","VA",25434
"51840","VA",25953
"24039","MD",26411
"51053","VA",27449
"51145","VA",27758
"51033","VA",27844
"42131","PA",28262
"51167","VA",28842
"51197","VA",29005
"51035","VA",29985
"24023","MD",30145
"51109","VA",32248
"24019","MD",32287
"51730","VA",32303
"51009","VA",32315
"51173","VA",32383
"42047","PA",32480
"51137","VA",32730
"51117","VA",32774
"24011","MD",32805
"51023","VA",32867
"51001","VA",34066
"51093","VA",34762
"51155","VA",34963
"51149","VA",35129
"51683","VA",36067
"51083","VA",36311
"51073","VA",36610
"51187","VA",37044
"24041","MD",37361
"42035","PA",38970
"42059","PA",39003
"42109","PA",39400
"42031","PA",40290
"51171","VA",41468
"51195","VA",41496
"42117","PA",41631
"42123","PA",41877
"51540","VA",42267
"42115","PA",43343
"51590","VA",43787
"42083","PA",43853
"51185","VA",44706
"42119","PA",44866
"42065","PA",45244
"42099","PA",45599
"51047","VA",45749
"42061","PA",45830
"42087","PA",46583
"24035","MD",46945
"51660","VA",47406
"42009","PA",49882
"24047","MD",51133
"42127","PA",52302
"51031","VA",54174
"51191","VA",54322
"51089","VA",54860
"51067","VA",54938
"42121","PA",55320
"42103","PA",56993
"42015","PA",62415
"51143","VA",63147
"51095","VA",64386
"51061","VA",64546
"42025","PA",64563
"51199","VA",64846
"34033","NJ",65982
"42037","PA",66642
"51019","VA",67697
"42005","PA",69489
"51015","VA",73201
"51680","VA",73726
"24001","MD",74638
"51165","VA",74922
"51069","VA",75835
"42111","PA",78219
"42033","PA",82131
"51800","VA",82544
"24009","MD",87891
"42063","PA",88745
"42039","PA",89153
"51161","VA",91583
"42073","PA",91682
"51121","VA",92527
"42097","PA",94099
"51770","VA",95793
"51003","VA",96633
"51740","VA",96785
"24045","MD",96951
"34009","NJ",97684
"51085","VA",99172
"24015","MD",100139
"42001","PA",100839
"24037","MD",102086
"34041","NJ",108982
"42081","PA",116376
"42085","PA",117296
"51177","VA",120212
"51179","VA",124587
"42013","PA",127071
"34019","NJ",128458
"42075","PA",131341
"51510","VA",133647
"42051","PA",138807
"51650","VA",139046
"24017","MD",143912
"42021","PA",144741
"24043","MD",146329
"42055","PA",146558
"42107","PA",148288
"34037","NJ",149996
"42027","PA",151411
"34011","NJ",155456
"10001","DE",156918
"24013","MD",167208
"42089","PA",168080
"42007","PA",171569
"51700","VA",181822
"42019","PA",182554
"10005","DE",190846
"51013","VA",197467
"51760","VA",201828
"42125","PA",206987
"42069","PA",213731
"51550","VA",219268
"24021","MD",229205
"42041","PA",231336
"51710","VA",242143
"24025","MD",242888
"42043","PA",264823
"34001","NJ",273162
"42049","PA",279234
"24027","MD",279366
"34015","NJ",285223
"51107","VA",291653
"42095","PA",294536
"51087","VA",300053
"51041","VA",308633
"42079","PA",319120
"34035","NJ",319347
"42077","PA",343946
"34021","NJ",364445
"42129","PA",365841
"51153","VA",379415
"42011","PA",407310
"42133","PA",428175
"51810","VA",435996
"34005","NJ",447861
"34027","NJ",489811
"42029","PA",490571
"34031","NJ",496204
"42071","PA",511250
"34007","NJ",513574
"24003","MD",527020
"34039","NJ",529547
"10003","DE",533514
"42045","PA",556468
"34029","NJ",569374
"11001","DC",584400
"24510","MD",620538
"34017","NJ",622123
"42017","PA",622859
"34025","NJ",628112
"34013","NJ",780872
"42091","PA",790497
"34023","NJ",798882
"24005","MD",799195
"24033","MD",854722
"34003","NJ",896482
"24031","MD",947230
"51059","VA",1048554
"42003","PA",1223066
"42101","PA",1504950
