GEO_ID,STATE,COUNTY,NAME.x,LSAD,CENSUSAREA,COUNTYFP,STATEFP,GEOID,NAME.y,variable,estimate,moe,id
0500000US15001,15,001,Hawaii,County,4028.417,001,15,15001,"Hawaii County, Hawaii",B01003_001,180362,NA,HI
0500000US15003,15,003,Honolulu,County,600.743,003,15,15003,"Honolulu County, Hawaii",B01003_001,936984,NA,HI
0500000US15005,15,005,Kalawao,County,11.991,005,15,15005,"Kalawao County, Hawaii",B01003_001,74,26,HI
0500000US15007,15,007,Kauai,County,619.956,007,15,15007,"Kauai County, Hawaii",B01003_001,65460,NA,HI
0500000US15009,15,009,Maui,County,1161.521,009,15,15009,"Maui County, Hawaii",B01003_001,150711,26,HI
