"place","date","amount"
"10001",2020-03-12,10.05
"10001",2020-03-13,20.05
"10001",2020-03-14,10.05
"10001",2020-03-15,10.05
"10001",2020-03-18,40.05
"10003",2020-03-07,40.05
"10003",2020-03-09,20.05
"10003",2020-03-10,10.05
"10003",2020-03-11,10.05
"10003",2020-03-12,70.05
"10005",2020-03-12,10.05
"10005",2020-03-13,20.05
"10005",2020-03-15,40.05
"10005",2020-03-16,10.05
"10005",2020-03-17,40.05
"11001",2020-03-03,20.05
"11001",2020-03-04,20.05
"11001",2020-03-06,60.05
"11001",2020-03-09,60.05
"11001",2020-03-10,10.05
"24001",2020-03-28,10.05
"24001",2020-03-29,10.05
"24001",2020-03-30,10.05
"24001",2020-03-31,30.05
"24001",2020-04-04,20.05
"24003",2020-03-08,10.05
"24003",2020-03-12,20.05
"24003",2020-03-13,10.05
"24003",2020-03-14,10.05
"24003",2020-03-15,100.05
"24005",2020-03-06,10.05
"24005",2020-03-08,10.05
"24005",2020-03-09,10.05
"24005",2020-03-11,10.05
"24005",2020-03-12,20.05
"24009",2020-03-14,10.05
"24009",2020-03-17,10.05
"24009",2020-03-19,10.05
"24009",2020-03-21,40.05
"24009",2020-03-22,10.05
"24011",2020-03-17,10.05
"24011",2020-03-24,20.05
"24011",2020-03-25,10.05
"24011",2020-04-01,20.05
"24011",2020-04-02,50.05
"24013",2020-03-09,10.05
"24013",2020-03-14,10.05
"24013",2020-03-15,10.05
"24013",2020-03-17,10.05
"24013",2020-03-18,10.05
"24015",2020-03-17,10.05
"24015",2020-03-19,20.05
"24015",2020-03-20,10.05
"24015",2020-03-22,50.05
"24015",2020-03-23,40.05
"24017",2020-03-08,10.05
"24017",2020-03-13,10.05
"24017",2020-03-15,20.05
"24017",2020-03-17,10.05
"24017",2020-03-20,30.05
"24019",2020-03-27,10.05
"24019",2020-04-02,20.05
"24019",2020-04-03,10.05
"24019",2020-04-04,30.05
"24019",2020-04-06,10.05
"24021",2020-03-12,10.05
"24021",2020-03-18,10.05
